City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
378,zaranj,30.9667,61.8833,23.98,42,7,4.81,AF,2023-03-29 15:41:12
379,tahta,26.7693,31.5021,25.96,21,0,8.86,EG,2023-03-29 15:41:12
380,kerman,30.2832,57.0788,17.92,25,20,4.12,IR,2023-03-29 15:36:16
381,borogontsy,62.6683,131.1683,-14.34,96,100,2.25,RU,2023-03-29 15:41:13
382,sioux lookout,50.1001,-91.917,-11.96,56,20,3.6,CA,2023-03-29 15:41:13
383,astana,51.1801,71.446,8.97,66,0,6.0,KZ,2023-03-29 15:41:13
384,carroll,39.5501,-77.0164,12.16,46,0,3.09,US,2023-03-29 15:41:14
385,kulhudhuffushi,6.6221,73.07,28.87,72,99,4.3,MV,2023-03-29 15:41:14
386,kemin,42.7846,75.6892,12.47,46,87,0.97,KG,2023-03-29 15:41:15
387,jimani,18.4917,-71.8502,28.94,27,0,4.02,DO,2023-03-29 15:41:15
388,kiunga,-6.1219,141.2906,22.64,100,100,0.93,PG,2023-03-29 15:41:15
389,kutum,14.2,24.6667,30.06,14,73,3.98,SD,2023-03-29 15:41:16
390,port lincoln,-34.7333,135.8667,15.29,78,27,1.69,AU,2023-03-29 15:41:16
391,asfi,32.2994,-9.2372,21.48,58,25,8.86,MA,2023-03-29 15:41:16
392,bonthe,7.5264,-12.505,29.68,66,72,5.97,SL,2023-03-29 15:41:16
393,karatuzskoye,53.6072,92.8667,1.93,99,81,1.87,RU,2023-03-29 15:41:17
394,uusikaupunki,60.8004,21.4084,-3.53,73,68,2.83,FI,2023-03-29 15:41:17
395,luis correia,-2.8792,-41.6669,28.52,73,30,4.09,BR,2023-03-29 15:41:18
396,mountain home,43.133,-115.6912,3.01,98,100,1.54,US,2023-03-29 15:37:28
397,maceio,-9.6658,-35.7353,29.69,74,75,6.17,BR,2023-03-29 15:37:07
398,union,40.6334,-74.2663,11.61,35,0,3.6,US,2023-03-29 15:41:19
399,gizo,-8.103,156.8419,27.05,81,100,2.21,SB,2023-03-29 15:41:19
400,kopong,-24.4833,25.8833,28.13,44,20,3.09,BW,2023-03-29 15:41:19
401,mocuba,-16.8392,36.9856,22.3,91,30,1.85,MZ,2023-03-29 15:41:20
402,vizinga,61.0749,50.1031,-4.72,92,77,2.5,RU,2023-03-29 15:41:21
403,gashua,12.871,11.0482,35.57,7,97,4.29,NG,2023-03-29 15:41:21
404,wukari,7.85,9.7833,38.34,7,100,1.82,NG,2023-03-29 15:41:22
405,nema,57.5067,50.5011,-1.84,82,58,4.15,RU,2023-03-29 15:41:22
406,pecos,31.4229,-103.4932,14.58,30,0,0.0,US,2023-03-29 15:38:28
407,natal,-5.795,-35.2094,30.36,65,40,4.63,BR,2023-03-29 15:32:48
408,egvekinot,66.3167,-179.1667,-9.77,92,100,2.99,RU,2023-03-29 15:41:23
409,rawlins,41.7911,-107.2387,2.94,38,75,2.57,US,2023-03-29 15:41:23
410,fort frances,48.5999,-93.4003,-9.91,68,0,2.57,CA,2023-03-29 15:40:40
411,panaba,21.2833,-88.2667,30.87,40,1,3.35,MX,2023-03-29 15:41:24
412,longyan,25.1072,117.0225,16.51,99,100,0.19,CN,2023-03-29 15:41:24
413,jinka,5.65,36.65,20.24,74,65,0.63,ET,2023-03-29 15:41:25
414,pangai,-19.8,-174.35,26.06,76,84,3.44,TO,2023-03-29 15:41:26
415,konevo,62.1215,39.3192,1.63,91,100,4.75,RU,2023-03-29 15:41:26
416,cidreira,-30.1811,-50.2056,29.21,61,0,1.43,BR,2023-03-29 15:41:27
417,broken hill,-31.95,141.4333,14.9,51,11,6.76,AU,2023-03-29 15:41:27
418,kijang,35.2442,129.2139,9.85,66,20,1.61,KR,2023-03-29 15:41:27
419,dong xoai,11.5333,106.9167,25.74,66,46,1.39,VN,2023-03-29 15:41:27
420,skelleftea,64.7507,20.9528,-3.8,58,40,3.6,SE,2023-03-29 15:41:28
421,kitimat,54.0524,-128.6534,-1.79,70,96,0.97,CA,2023-03-29 15:41:29
422,grand forks,47.9417,-97.4337,-14.04,66,0,3.09,US,2023-03-29 15:41:29
423,sabla,12.7525,4.7077,38.6,7,41,3.76,NG,2023-03-29 15:41:29
424,black forest,39.0131,-104.7008,9.1,32,0,3.6,US,2023-03-29 15:41:30
425,niigata,37.9022,139.0236,3.29,54,0,1.67,JP,2023-03-29 15:41:30
426,kedrovyy,56.1667,91.8167,9.23,86,70,4.89,RU,2023-03-29 15:41:31
427,le port,-20.9373,55.2919,27.0,98,35,0.75,RE,2023-03-29 15:41:31
428,general roca,-39.0333,-67.5833,15.97,23,0,2.89,AR,2023-03-29 15:41:31
429,vicente guerrero,19.1194,-98.1708,18.66,49,3,1.99,MX,2023-03-29 15:41:32
430,chapleau,47.8405,-83.4034,-5.95,73,75,4.12,CA,2023-03-29 15:41:33
431,biak,-0.9131,122.8766,24.68,84,100,0.77,ID,2023-03-29 15:41:33
432,saint-gaudens,43.0833,0.6667,20.01,43,31,1.88,FR,2023-03-29 15:41:33
433,chengam,12.3,78.8,26.55,72,4,2.55,IN,2023-03-29 15:41:34
434,farsund,58.0948,6.8047,3.3,77,99,9.5,NO,2023-03-29 15:41:34
435,chifeng,42.2683,118.9636,10.38,19,0,2.97,CN,2023-03-29 15:41:35
436,grafton,42.207,-71.6856,9.17,42,0,2.57,US,2023-03-29 15:41:35
437,bambous virieux,-20.3428,57.7575,27.14,78,75,4.12,MU,2023-03-29 15:41:35
438,palmdale,34.5794,-118.1165,6.96,89,100,3.09,US,2023-03-29 15:41:35
439,la palma,33.8464,-118.0467,12.23,94,100,3.6,US,2023-03-29 15:41:36
440,tessalit,20.1986,1.0114,34.9,5,0,4.74,ML,2023-03-29 15:41:36
441,port keats,-14.25,129.55,26.59,73,93,0.99,AU,2023-03-29 15:41:36
442,ashqelon,31.6693,34.5715,16.94,59,34,8.01,IL,2023-03-29 15:41:36
443,vila do maio,15.1333,-23.2167,34.44,74,6,5.94,CV,2023-03-29 15:41:37
444,saint-joseph,-21.3667,55.6167,26.21,80,30,4.54,RE,2023-03-29 15:41:37
445,vao,-22.6667,167.4833,24.61,78,97,4.58,NC,2023-03-29 15:41:37
446,pirgos,35.1167,25.7178,13.68,37,15,9.34,GR,2023-03-29 15:41:38
447,ornskoldsvik,63.2909,18.7153,-2.47,50,0,3.6,SE,2023-03-29 15:41:38
448,jalu,29.0331,21.5482,20.81,21,0,6.28,LY,2023-03-29 15:41:38
449,prieska,-29.6641,22.7474,24.65,13,44,6.65,ZA,2023-03-29 15:41:38
450,guerrero negro,27.9769,-114.0611,15.67,62,0,6.26,MX,2023-03-29 15:41:39
451,eaton socon,52.2175,-0.2893,14.05,82,100,6.43,GB,2023-03-29 15:41:39
452,harper,4.375,-7.7169,29.34,69,26,4.71,LR,2023-03-29 15:41:40
453,oxford,51.7522,-1.256,13.43,94,100,6.69,GB,2023-03-29 15:40:08
454,paradise,36.0972,-115.1467,16.07,29,100,6.69,US,2023-03-29 15:40:13
455,dir,35.2058,71.8756,10.66,88,100,2.22,PK,2023-03-29 15:41:40
456,pangnirtung,66.1451,-65.7125,-17.0,71,20,0.0,CA,2023-03-29 15:41:41
457,springdale,36.1867,-94.1288,13.17,58,0,4.12,US,2023-03-29 15:38:17
458,sambava,-14.2667,50.1667,26.32,83,83,3.44,MG,2023-03-29 15:37:00
459,bousso,10.4795,16.7117,39.27,11,100,1.51,TD,2023-03-29 15:41:41
460,markova,48.6758,24.4138,1.58,41,5,3.86,UA,2023-03-29 15:41:42
461,manzhouli,49.6,117.4333,1.61,65,49,2.95,CN,2023-03-29 15:41:42
462,walvis bay,-22.9575,14.5053,19.78,62,17,8.55,,2023-03-29 15:41:42
463,youghal,51.95,-7.8506,12.56,100,100,8.92,IE,2023-03-29 15:41:42
464,ilulissat,69.2167,-51.1,-12.99,56,0,0.51,GL,2023-03-29 15:41:43
465,santa maria,-29.6842,-53.8069,32.61,49,20,4.63,BR,2023-03-29 15:41:43
466,zhigansk,66.7697,123.3711,-23.46,96,100,1.47,RU,2023-03-29 15:41:43
467,lulea,65.5842,22.1547,-4.96,80,40,5.66,SE,2023-03-29 15:41:43
468,lavrentiya,65.5833,-171.0,-7.48,95,100,6.34,RU,2023-03-29 15:41:44
469,balkanabat,39.5108,54.3671,23.28,29,0,2.77,TM,2023-03-29 15:41:44
470,los llanos de aridane,28.6585,-17.9182,27.86,12,0,5.66,ES,2023-03-29 15:41:44
471,mitu,1.1983,-70.1733,32.28,51,99,1.15,CO,2023-03-29 15:41:44
472,corinto,37.9407,22.9573,14.38,33,72,0.89,GR,2023-03-29 15:41:44
473,murud,18.3258,72.965,24.56,74,5,1.76,IN,2023-03-29 15:41:45
474,yar-sale,66.8333,70.8333,-15.76,91,42,8.61,RU,2023-03-29 15:41:45
475,nyagan,62.1406,65.3936,-6.52,90,95,4.7,RU,2023-03-29 15:41:45
476,wajir,1.7471,40.0573,32.98,49,20,2.06,KE,2023-03-29 15:41:46
477,redcar,54.6166,-1.06,14.18,62,100,4.02,GB,2023-03-29 15:41:46
478,terrace,54.5163,-128.6035,-2.05,86,20,0.0,CA,2023-03-29 15:41:07
479,ukholovo,53.7929,40.4892,7.26,74,100,4.75,RU,2023-03-29 15:41:46
480,baghdad,33.3406,44.4009,26.95,29,0,1.03,IQ,2023-03-29 15:41:20
481,aljezur,37.3191,-8.8033,20.81,52,89,1.76,PT,2023-03-29 15:41:47
482,vagur,61.4732,-6.8119,5.49,92,100,17.76,FO,2023-03-29 15:41:47
483,neuquen,-38.9516,-68.0591,16.94,31,0,3.6,AR,2023-03-29 15:41:00
484,nome,64.5011,-165.4064,-6.58,93,100,10.8,US,2023-03-29 15:39:58
485,imbituba,-28.24,-48.6703,29.36,63,3,4.88,BR,2023-03-29 15:41:48
486,marion,39.7684,-86.1555,9.76,63,75,5.14,US,2023-03-29 15:41:48
487,colares,38.7992,-9.4469,21.82,64,0,8.05,PT,2023-03-29 15:41:48
488,souillac,-20.5167,57.5167,27.21,78,75,4.12,MU,2023-03-29 15:41:48
489,chachapoyas,-6.2317,-77.869,17.29,68,100,1.53,PE,2023-03-29 15:41:49
490,nemuro,43.3236,145.575,1.75,89,18,3.14,JP,2023-03-29 15:41:49
491,wuwei,37.9281,102.6414,12.46,26,89,2.91,CN,2023-03-29 15:41:50
492,keffi,8.8486,7.8736,38.32,11,50,2.55,NG,2023-03-29 15:41:50
493,escanaba,45.7453,-87.0646,-2.8,51,75,6.69,US,2023-03-29 15:41:51
494,san ramon,37.7799,-121.978,8.23,92,100,2.06,US,2023-03-29 15:41:51
495,katherine,-14.4667,132.2667,26.18,69,88,0.0,AU,2023-03-29 15:41:51
496,sinnamary,5.3833,-52.95,26.59,81,68,5.18,GF,2023-03-29 15:41:52
497,peyima,8.7,-11.0333,23.99,89,95,2.51,SL,2023-03-29 15:41:52
498,jalingo,8.8833,11.3667,38.59,7,94,2.84,NG,2023-03-29 15:41:53
499,scottsbluff,41.8666,-103.6672,-4.38,86,100,3.6,US,2023-03-29 15:41:53
500,chanika,-5.4167,38.0167,22.55,91,98,1.75,TZ,2023-03-29 15:41:53
501,coahuayana,18.7333,-103.6833,30.05,29,66,1.28,MX,2023-03-29 15:41:53
502,petropavlovsk-kamchatskiy,53.0452,158.6483,-4.67,54,0,1.0,RU,2023-03-29 15:41:54
503,ipixuna,-1.7625,-48.8043,25.6,89,98,1.33,BR,2023-03-29 15:41:54
504,lazaro cardenas,17.9583,-102.2,29.63,37,65,0.39,MX,2023-03-29 15:41:54
505,nombre de dios,23.85,-104.2333,16.75,29,100,0.88,MX,2023-03-29 15:41:55
506,dillon,34.4166,-79.3712,13.47,64,60,5.95,US,2023-03-29 15:40:40
507,dandong,40.1292,124.3947,5.39,83,0,1.48,CN,2023-03-29 15:41:55
508,kholodnyy,62.7167,147.95,-20.36,100,91,0.52,RU,2023-03-29 15:41:55
509,izvor,42.2039,21.5783,9.24,42,89,4.21,MK,2023-03-29 15:41:55
510,bafq,31.6128,55.4107,22.77,22,2,3.17,IR,2023-03-29 15:41:56
511,lumsden,50.6501,-104.8678,-10.0,93,45,3.05,CA,2023-03-29 15:41:56
512,san severo,41.6897,15.376,16.78,65,92,4.2,IT,2023-03-29 15:41:56
513,gold coast,-28.0,153.4333,24.44,93,100,3.09,AU,2023-03-29 15:38:32
514,fitchburg,42.5834,-71.8023,8.83,36,0,4.12,US,2023-03-29 15:41:57
515,paita,-5.0892,-81.1144,26.73,75,100,2.07,PE,2023-03-29 15:41:57
516,creel,27.75,-107.6333,14.44,19,9,2.65,MX,2023-03-29 15:41:57
517,xiaolingwei,32.0333,118.85,13.99,72,99,3.84,CN,2023-03-29 15:41:58
518,chadiza,-14.0678,32.4392,19.38,91,76,2.28,ZM,2023-03-29 15:41:58
519,constitucion,-35.3333,-72.4167,18.2,48,2,5.93,CL,2023-03-29 15:41:33
520,oussouye,12.485,-16.5469,41.1,28,1,6.66,SN,2023-03-29 15:41:59
521,san quintin,30.4833,-115.95,14.55,66,0,4.89,MX,2023-03-29 15:41:59
522,ossora,59.2353,163.0719,-16.73,90,10,2.31,RU,2023-03-29 15:42:00
523,brasilia de minas,-16.2064,-44.4333,32.27,20,30,3.29,BR,2023-03-29 15:39:05
524,kargat,55.1956,80.2811,-1.05,84,100,6.59,RU,2023-03-29 15:42:00
